episode,time_h,completed,attempts,errors,err_rate,err_target,mp_r,mp_h,w_hat_r,w_h,wage_parity,prod_parity,profit,lambda_dual,episode_reward,episode_steps,mean_speed,mean_care,buffer_size,critic_loss,actor_loss,alpha,consistency_loss,contrastive_loss,mean_novelty,mean_weight,q_mean,novelty_raw,delta_mpl_cust_pred,delta_mpl_total,delta_mpl_cust,spread,spread_value,s_cust,s_plat,rebate,captured_spread,w_h_indexed,customer_cost,consumer_surplus
30,0.017,3,6,3,0.5,0.098,180.0,60,-36.0,18.0,-2.0,3.0,-36.1,0.0901,-524.84,60,0.517,0.563,1860,6001.333008,-0.298361,0.0996,0.0,0.0,0.5,1.0,0.17,0.7467,-2.952,60.0,-2.952,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,18.0
31,0.017,2,2,0,0.0,0.0979,120.0,60,36.0,18.0,2.0,2.0,35.9,0.0892,4193.36,60,0.515,0.49,1920,6492.045898,-0.316001,0.0996,0.0,0.0,0.5,1.0,0.18,0.7257,-1.9598,-60.0,-1.9598,18.0,0.3,0.0,1.0,0.0,0.3,18.0,18.0,0.0
32,0.017,5,5,0,0.0,0.0979,300.0,60,90.0,18.0,5.0,5.0,89.9,0.0882,6149.75,60,0.557,0.459,1980,6742.660156,-0.332484,0.0995,0.0,0.0,0.5,1.0,0.2,0.7425,-2.8623,180.0,-2.8623,72.0,1.2,0.0,1.0,0.0,1.2,18.0,18.0,0.0
33,0.017,1,1,0,0.0,0.0978,60.0,60,18.0,18.0,1.0,1.0,17.9,0.0872,2211.86,60,0.464,0.547,2040,7185.026855,-0.351763,0.0995,0.0,0.0,0.5,1.0,0.22,0.7205,-0.0339,-240.0,-0.0339,0.0,0.0,0.0,0.0,0.0,0.0,18.0,18.0,0.0
34,0.017,1,1,0,0.0,0.0977,60.0,60,18.0,18.0,1.0,1.0,17.9,0.0862,3011.36,60,0.47,0.518,2100,7391.414062,-0.370589,0.0995,0.0,0.0,0.5,1.0,0.24,0.7196,-3.678,0.0,-3.678,0.0,0.0,0.0,0.0,0.0,0.0,18.0,18.0,0.0
35,0.017,2,2,0,0.0,0.0977,120.0,60,36.0,18.0,2.0,2.0,35.9,0.0853,7664.23,60,0.517,0.547,2160,8327.458984,-0.393085,0.0994,0.0,0.0,0.5,1.0,0.26,0.739,-3.648,60.0,-3.648,18.0,0.3,0.0,1.0,0.0,0.3,18.0,18.0,0.0
36,0.017,0,2,2,1.0,0.0976,0.0,60,0.0,18.0,0.0,0.0,-0.1,0.0943,-9.85,60,0.495,0.503,2220,8570.186523,-0.413188,0.0994,0.0,0.0,0.5,1.0,0.28,0.7355,-2.6608,-120.0,-2.6608,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,18.0
37,0.017,0,1,1,1.0,0.0975,0.0,60,0.0,18.0,0.0,0.0,-0.1,0.1033,-9.91,60,0.524,0.488,2280,8993.197266,-0.437636,0.0994,0.0,0.0,0.5,1.0,0.3,0.7377,-4.4727,0.0,-4.4727,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,18.0
38,0.017,2,2,0,0.0,0.0975,120.0,60,36.0,18.0,2.0,2.0,35.9,0.1023,245.49,60,0.526,0.483,2340,11641.460938,-0.461151,0.0993,0.0,0.0,0.5,1.0,0.33,0.7504,-4.4251,120.0,-4.4251,18.0,0.3,0.0,1.0,0.0,0.3,18.0,18.0,0.0
39,0.017,0,1,1,1.0,0.0974,0.0,60,0.0,18.0,0.0,0.0,-0.1,0.1114,-9.51,60,0.519,0.464,2400,11611.270508,-0.487572,0.0993,0.0,0.0,0.5,1.0,0.35,0.7293,-2.4644,-120.0,-2.4644,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,18.0
40,0.017,3,5,2,0.4,0.0973,180.0,60,-18.0,18.0,-1.0,3.0,-18.1,0.1144,-386.37,60,0.51,0.543,2460,11993.455078,-0.516237,0.0993,0.0,0.0,0.5,1.0,0.38,0.7408,-4.2834,180.0,-4.2834,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,18.0
41,0.017,0,0,0,0.0,0.0973,0.0,60,0.0,18.0,0.0,0.0,-0.1,0.1134,-6.0,60,0.532,0.539,2520,12056.349609,-0.545691,0.0993,0.0,0.0,0.5,1.0,0.41,0.7272,-1.4259,-180.0,-1.4259,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,18.0
42,0.017,3,5,2,0.4,0.0972,180.0,60,-18.0,18.0,-1.0,3.0,-18.1,0.1164,-3131.77,60,0.559,0.47,2580,12486.222656,-0.577285,0.0992,0.0,0.0,0.5,1.0,0.44,0.7362,-4.1699,180.0,-4.1699,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,18.0
43,0.017,2,3,1,0.3333,0.0971,120.0,60,-4.0,18.0,-0.2222,2.0,-4.1,0.1188,1977.44,60,0.512,0.504,2640,12568.726562,-0.61075,0.0992,0.0,0.0,0.5,1.0,0.48,0.7364,-1.3299,-60.0,-1.3299,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,18.0
44,0.017,3,4,1,0.25,0.0971,180.0,60,9.0,18.0,0.5,3.0,8.9,0.1203,842.22,60,0.561,0.535,2700,12634.541016,-0.647524,0.0992,0.0,0.0,0.5,1.0,0.51,0.7321,-2.2321,60.0,-2.2321,0.0,0.0,0.0,0.0,0.0,0.0,18.0,9.0,9.0
45,0.017,2,6,4,0.6667,0.097,120.0,60,-44.0,18.0,-2.4444,2.0,-44.1,0.126,-937.62,60,0.59,0.5,2760,12771.669922,-0.685175,0.0991,0.0,0.0,0.5,1.0,0.55,0.7263,-1.2753,-60.0,-1.2753,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,18.0
46,0.017,3,3,0,0.0,0.0969,180.0,60,54.0,18.0,3.0,3.0,53.9,0.1251,2769.17,60,0.539,0.556,2820,12796.27832,-0.724022,0.0991,0.0,0.0,0.5,1.0,0.59,0.7378,-2.1791,60.0,-2.1791,36.0,0.6,0.0,1.0,0.0,0.6,18.0,18.0,0.0
47,0.017,0,0,0,0.0,0.0969,0.0,60,0.0,18.0,0.0,0.0,-0.1,0.1241,-6.0,60,0.525,0.519,2880,13014.380859,-0.767023,0.0991,0.0,0.0,0.5,1.0,0.64,0.7325,-1.2181,-180.0,-1.2181,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,18.0
