episode,time_h,completed,attempts,errors,err_rate,mp_r,mp_h,w_hat_r,w_h,wage_parity,prod_parity,profit,lambda_dual,err_target,episode_reward,episode_steps,policy_loss,value_loss,entropy,kl_divergence,novelty,mean_weight,p90_weight
157,1.0,128,152,24,0.1579,128.0,60.0,18.19,18.0,1.0105,2.1333,18.09,1.6082,0.06,1377.31,60,0.544405,83910.807031,1.59737,-0.414349,0.0,1.0,1.4001
158,1.0,135,165,30,0.1818,135.0,60.0,15.95,18.0,0.8864,2.25,15.85,1.6204,0.06,811.78,60,0.260775,23907.703906,1.597913,-0.349574,0.0,1.0,1.4843
159,1.0,113,138,25,0.1812,113.0,60.0,13.43,18.0,0.7461,1.8833,13.33,1.6325,0.06,659.08,60,0.658057,16561.748242,1.598488,-0.502676,0.0,1.0,1.4539
160,1.0,120,150,30,0.2,120.0,60.0,12.0,18.0,0.6667,2.0,11.9,1.6465,0.06,906.68,60,0.404163,34902.542188,1.599243,-0.365307,0.0,1.0,1.411
161,1.0,133,156,23,0.1474,133.0,60.0,20.29,18.0,1.1273,2.2167,20.19,1.6553,0.06,1375.35,60,0.817497,96983.64375,1.599882,-0.52171,0.0,1.0,1.413
162,1.0,114,128,14,0.1094,114.0,60.0,21.73,18.0,1.2073,1.9,21.63,1.6602,0.06,1257.27,60,0.882804,70220.807812,1.600416,-0.555925,0.0,1.0,1.414
163,1.0,121,141,20,0.1418,121.0,60.0,19.14,18.0,1.0632,2.0167,19.04,1.6684,0.06,1330.74,60,10.490799,66803.528125,1.601826,-0.587382,0.0,1.0,1.4286
164,1.0,120,148,28,0.1892,120.0,60.0,13.3,18.0,0.7387,2.0,13.2,1.6813,0.06,1170.29,60,0.401652,52707.301172,1.605418,-0.354435,0.0,1.0,1.3991
165,1.0,113,137,24,0.1752,113.0,60.0,14.1,18.0,0.7836,1.8833,14.0,1.6928,0.06,1146.17,60,0.26577,49048.210547,1.607351,-0.283721,0.0,1.0,1.4355
166,1.0,128,147,19,0.1293,128.0,60.0,21.86,18.0,1.2142,2.1333,21.76,1.6997,0.06,1111.9,60,0.368882,49923.490234,1.608183,-0.239663,0.0,1.0,1.4235
167,1.0,116,138,22,0.1594,116.0,60.0,16.31,18.0,0.906,1.9333,16.21,1.7097,0.06,1030.98,60,0.802219,40080.930469,1.608761,-0.42189,0.0,1.0,1.4696
168,1.0,125,164,39,0.2378,125.0,60.0,7.77,18.0,0.4319,2.0833,7.67,1.7275,0.06,393.46,60,0.14797,6177.755029,1.60941,-0.280822,0.0,1.0,1.3745
